script,param_file,obs_file,execution_time,initial_sum,final_sum,difference,repetition
no_tensor_core,anb.par,anb.obs8,38.4868,4999.9999999745,4999.999999929,4.549929144559428e-08,1
no_tensor_core,anb.par,anb.obs11,7.5126,60.0,59.9999999992,8.000000661922968e-10,1
no_tensor_core,anb.par,anb.obs12,9.4906,999.9999999986,999.9999999856,1.2999976206629071e-08,1
no_tensor_core,anb.par,anb.obs31,9.2536,250.0,249.9999999965,3.4999914078071015e-09,1
no_tensor_core,anb.par2,anb.obs8,0.0049,4999.9999999745,4999.9999999752,-7.003109203651547e-10,1
no_tensor_core,anb.par2,anb.obs11,0.0008,60.0,60.0,0.0,1
no_tensor_core,anb.par2,anb.obs12,0.0014,999.9999999986,999.9999999989,-3.000195647473447e-10,1
no_tensor_core,anb.par2,anb.obs31,0.0011,250.0,250.0,0.0,1
no_tensor_core,anb.par2,anb.obs90,0.0205,25000.0000003394,25000.0000003142,2.5200279196724296e-08,1
with_tensor_core,anb.par,anb.obs8,0.0001,4998.779296875,4989.8778076172,8.901489257799767,1
with_tensor_core,anb.par,anb.obs11,0.0001,59.9853515625,59.8839111328,0.10144042969999845,1
with_tensor_core,anb.par,anb.obs12,0.0001,999.755859375,997.9598693848,1.7959899902000416,1
with_tensor_core,anb.par,anb.obs31,0.0001,249.9389648438,249.4958496094,0.4431152343999827,1
with_tensor_core,anb.par,anb.obs90,0.0002,24993.896484375,24948.590423584,45.30606079100107,1
with_tensor_core,anb.par2,anb.obs8,0.0001,4998.779296875,4989.8778076172,8.901489257799767,1
with_tensor_core,anb.par2,anb.obs11,0.0001,59.9853515625,59.8839111328,0.10144042969999845,1
with_tensor_core,anb.par2,anb.obs12,0.0001,999.755859375,997.9598693848,1.7959899902000416,1
with_tensor_core,anb.par2,anb.obs31,0.0001,249.9389648438,249.4958496094,0.4431152343999827,1
with_tensor_core,anb.par2,anb.obs90,0.0002,24993.896484375,24948.590423584,45.30606079100107,1
